Country,Code,Year,Series,Tourism arrivals series type,Tourism arrivals series type footnote,Value,Footnotes,Source
Lesotho,426,2021,Tourism expenditure (millions of US dollars),TF,,8,Excluding passenger transport.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Liberia,430,2019,Tourism expenditure (millions of US dollars),,,2,Excluding passenger transport.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Libya,434,2020,Tourism expenditure (millions of US dollars),TF,,93,Non-resident tourists staying in hotels and similar establishments.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Liechtenstein,438,2021,Tourist/visitor arrivals (thousands),TCE,,70,Excluding long term tourists on campgrounds and in holiday flats.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Lithuania,440,2021,Tourism expenditure (millions of US dollars),TF,,585,Excluding passenger transport.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Luxembourg,442,2021,Tourism expenditure (millions of US dollars),TCE,,5584,"Non-resident tourists staying in all types of accommodation establishments.;Including youth hostels, tourist private accommodation and others.","World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Madagascar,450,2021,Tourism expenditure (millions of US dollars),TF,,111,Arrivals of non-resident tourists by air.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Malawi,454,2021,Tourism expenditure (millions of US dollars),TF,,29,Departures.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Malaysia,458,2021,Tourism expenditure (millions of US dollars),TF,,116,Including Singapore residents crossing the frontier by road through Johore Causeway.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Maldives,462,2021,Tourism expenditure (millions of US dollars),TF,,3490,Arrivals by air.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Mali,466,2020,Tourism expenditure (millions of US dollars),TF,,82,Arrivals by air only (Bamako-Sénou airport).,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Malta,470,2021,Tourism expenditure (millions of US dollars),TF,,772,Excluding passenger transport.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Marshall Islands,584,2020,Tourism expenditure (millions of US dollars),TF,,4,Data refer to fiscal years ending 30 September.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Martinique,474,2021,Tourism expenditure (millions of US dollars),TF,,283,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Mauritania,478,2021,Tourism expenditure (millions of US dollars),,,7,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Mauritius,480,2021,Tourism expenditure (millions of US dollars),TF,,383,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Mexico,484,2021,Tourism expenditure (millions of US dollars),TF,,20554,Including nationals residing abroad.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Micronesia (Fed. States of),583,2010,Tourism expenditure (millions of US dollars),TF,,24,Excluding passenger transport.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Monaco,492,2021,Tourist/visitor arrivals (thousands),THS,,218,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Mongolia,496,2021,Tourism expenditure (millions of US dollars),TF,,34,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Montenegro,499,2021,Tourism expenditure (millions of US dollars),TCE,,902,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Montserrat,500,2021,Tourism expenditure (millions of US dollars),TF,,2,Excluding passenger transport.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Morocco,504,2021,Tourism expenditure (millions of US dollars),TF,,4641,Including nationals residing abroad.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Mozambique,508,2021,Tourism expenditure (millions of US dollars),TF,,188,The data of all the border posts of the country are used.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Myanmar,104,2019,Tourism expenditure (millions of US dollars),TF,,2501,Break in the time series.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Namibia,516,2021,Tourism expenditure (millions of US dollars),TF,,143,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Nauru,520,2010,Tourism expenditure (millions of US dollars),,,1,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Nepal,524,2021,Tourism expenditure (millions of US dollars),TF,,176,Including arrivals from India.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Netherlands (Kingdom of the),528,2021,Tourism expenditure (millions of US dollars),TCE,,10535,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
New Caledonia,540,2010,Tourism expenditure (millions of US dollars),TF,,129,Excluding passenger transport.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
New Zealand,554,2021,Tourism expenditure (millions of US dollars),TF,,2875,Excluding passenger transport.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Nicaragua,558,2021,Tourism expenditure (millions of US dollars),TF,,184,Excluding passenger transport.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Niger,562,2020,Tourism expenditure (millions of US dollars),TF,,97,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Nigeria,566,2021,Tourism expenditure (millions of US dollars),TF,,265,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Niue,570,2010,Tourism expenditure (millions of US dollars),TF,,2,Including Niueans residing usually in New Zealand.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
North Macedonia,807,2021,Tourism expenditure (millions of US dollars),TCE,,387,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Northern Mariana Islands,580,1995,Tourism expenditure (millions of US dollars),VF,,655,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Norway,578,2021,Tourism expenditure (millions of US dollars),TCE,,2310,Non-resident tourists staying in all types of accommodation establishments.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Oman,512,2021,Tourism expenditure (millions of US dollars),TF,,511,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Other non-specified areas,158,2021,Tourism expenditure (millions of US dollars),VF,,901,Including nationals residing abroad.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Pakistan,586,2021,Tourism expenditure (millions of US dollars),TF,,884,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Palau,585,2010,Tourism expenditure (millions of US dollars),TF,,76,Data refer to fiscal years ending 30 September.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Panama,591,2021,Tourism expenditure (millions of US dollars),TF,,3607,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Papua New Guinea,598,2010,Tourism expenditure (millions of US dollars),TF,,2,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Paraguay,600,2021,Tourism expenditure (millions of US dollars),TF,,66,"Excluding nationals residing abroad and crew members.;E/D cards in the ""Silvio Petirossi"" airport and passenger counts at the national border crossings - National Police and SENATUR.","World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Peru,604,2021,Tourism expenditure (millions of US dollars),TF,,1043,Including nationals residing abroad.;Including tourists with identity document other than a passport.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Philippines,608,2021,Tourism expenditure (millions of US dollars),TF,,984,Including nationals residing abroad.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Poland,616,2021,Tourism expenditure (millions of US dollars),TF,,10136,Based on surveys by the Institute of Tourism.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Portugal,620,2021,Tourism expenditure (millions of US dollars),TCE,,13823,"Non-resident tourists staying in all types of accommodation establishments.;Include hotels, apartment hotels, “pousadas”, tourist apartments, tourist villages, camping sites, recreation centres, tourism in rural areas and local accommodation.","World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Puerto Rico,630,2021,Tourism expenditure (millions of US dollars),TF,,2787,Data refer to fiscal years beginning 1 July.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Qatar,634,2021,Tourism expenditure (millions of US dollars),VF,,14830,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Republic of Korea,410,2021,Tourism expenditure (millions of US dollars),VF,,11084,Including nationals residing abroad and crew members.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Republic of Moldova,498,2021,Tourism expenditure (millions of US dollars),TCE,,484,Non-resident tourists staying in all types of accommodation establishments.;Excluding the left side of the river Nistru and the municipality of Bender.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Romania,642,2021,Tourism expenditure (millions of US dollars),VF,,3525,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Russian Federation,643,2021,Tourism expenditure (millions of US dollars),VF,,6314,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Rwanda,646,2021,Tourism expenditure (millions of US dollars),TF,,284,January-November.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Réunion,638,2021,Tourism expenditure (millions of US dollars),TF,,227,Arrivals by air only.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Saba,667,2010,Tourist/visitor arrivals (thousands),TF,,12,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Saint Kitts and Nevis,659,2021,Tourism expenditure (millions of US dollars),TF,,96,Excluding passenger transport.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Saint Lucia,662,2021,Tourism expenditure (millions of US dollars),TF,,780,Excluding passenger transport.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Saint Vincent & Grenadines,670,2021,Tourism expenditure (millions of US dollars),TF,,46,Excluding passenger transport.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Samoa,882,2021,Tourism expenditure (millions of US dollars),TF,,0,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
San Marino,674,2020,Tourism expenditure (millions of US dollars),TCE,,155,Including Italian visitors.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Sao Tome and Principe,678,2021,Tourism expenditure (millions of US dollars),TF,,30,Excluding passenger transport.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Saudi Arabia,682,2021,Tourism expenditure (millions of US dollars),TF,,4639,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Senegal,686,2010,Tourism expenditure (millions of US dollars),TF,,464,Estimate.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Serbia,688,2021,Tourism expenditure (millions of US dollars),TCE,,2172,Excluding Kosovo and Metohija.;Tourists staying in visitor accommodation establishments.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Seychelles,690,2021,Tourism expenditure (millions of US dollars),TF,,594,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Sierra Leone,694,2020,Tourism expenditure (millions of US dollars),TF,,39,Excluding passenger transport.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Singapore,702,2021,Tourism expenditure (millions of US dollars),TF,,3808,Excluding passenger transport.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Sint Eustatius,668,2010,Tourist/visitor arrivals (thousands),TF,,11,Excluding Netherlands Antillean residents.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Sint Maarten (Dutch part),534,2021,Tourism expenditure (millions of US dollars),TF,,499,Arrivals by air. Including arrivals to Saint Martin (French part).,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Slovakia,703,2021,Tourism expenditure (millions of US dollars),TF,,1179,The number of inbound arrivals is based on a combination of accommodation statistics and border survey statistics (as calculated within Tourism Satellite Account).,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Slovenia,705,2021,Tourism expenditure (millions of US dollars),TCE,,2032,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Solomon Islands,90,2020,Tourism expenditure (millions of US dollars),TF,,7,Arrivals by air.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
South Africa,710,2021,Tourism expenditure (millions of US dollars),TF,,2113,Excluding transit.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Spain,724,2021,Tourism expenditure (millions of US dollars),TF,,34183,Excluding passenger transport.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Sri Lanka,144,2021,Tourism expenditure (millions of US dollars),TF,,615,Excluding nationals residing abroad.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
State of Palestine,275,2021,Tourism expenditure (millions of US dollars),THS,,266,Excluding passenger transport.;West Bank and Gaza.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Sudan,729,2021,Tourism expenditure (millions of US dollars),TF,,1077,Excluding passenger transport.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Suriname,740,2021,Tourism expenditure (millions of US dollars),TF,,14,Arrivals at Zanderij Airport.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Sweden,752,2021,Tourism expenditure (millions of US dollars),TCE,,6032,Excluding passenger transport.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Switzerland,756,2021,Tourism expenditure (millions of US dollars),TCE,,12125,All collective tourism establishments.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Syrian Arab Republic,760,2010,Tourism expenditure (millions of US dollars),TCE,,6308,Including Iraqi nationals.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Tajikistan,762,2021,Tourism expenditure (millions of US dollars),VF,,99,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Thailand,764,2021,Tourism expenditure (millions of US dollars),TF,,5276,Including nationals residing abroad.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Timor-Leste,626,2021,Tourism expenditure (millions of US dollars),TF,,12,Excluding passenger transport.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Togo,768,2020,Tourism expenditure (millions of US dollars),THS,,151,Including nationals residing abroad.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Tonga,776,2021,Tourism expenditure (millions of US dollars),TF,,9,Arrivals by air.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Trinidad and Tobago,780,2021,Tourism expenditure (millions of US dollars),TF,,60,Arrivals by air.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Tunisia,788,2021,Tourism expenditure (millions of US dollars),TF,,1241,Including nationals residing abroad.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Turkmenistan,795,2005,Tourist/visitor arrivals (thousands),TF,,12,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Turks and Caicos Islands,796,1995,Tourism expenditure (millions of US dollars),TF,,53,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Tuvalu,798,2021,Tourism expenditure (millions of US dollars),TF,,0,Excluding passenger transport.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Türkiye,792,2021,Tourism expenditure (millions of US dollars),TF,,27899,Turkish citizens resident abroad are included.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Uganda,800,2021,Tourism expenditure (millions of US dollars),TF,,942,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Ukraine,804,2021,Tourism expenditure (millions of US dollars),TF,,1387,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
United Arab Emirates,784,2021,Tourism expenditure (millions of US dollars),TCE,,34440,Break in the time series.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
United Kingdom,826,2021,Tourism expenditure (millions of US dollars),TF,,32959,Excluding passenger transport.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
United Rep. of Tanzania,834,2021,Tourism expenditure (millions of US dollars),TF,,1324,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
United States Virgin Islands,850,2020,Tourism expenditure (millions of US dollars),TF,,686,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
United States of America,840,2021,Tourism expenditure (millions of US dollars),TF,,82974,Break in the time series.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Uruguay,858,2021,Tourism expenditure (millions of US dollars),TF,,588,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Uzbekistan,860,2021,Tourism expenditure (millions of US dollars),VF,,553,Excluding passenger transport.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Vanuatu,548,2021,Tourism expenditure (millions of US dollars),TF,,2,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Venezuela (Boliv. Rep. of),862,2010,Tourism expenditure (millions of US dollars),TF,,885,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Viet Nam,704,2021,Tourism expenditure (millions of US dollars),VF,,149,Including nationals residing abroad.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Yemen,887,2010,Tourism expenditure (millions of US dollars),TF,,1291,Including nationals residing abroad.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Zambia,894,2021,Tourism expenditure (millions of US dollars),TF,,393,Excluding passenger transport.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Zimbabwe,716,2020,Tourism expenditure (millions of US dollars),VF,,66,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
